Id,Label,timeset,genres,followers,related artist,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,modularity_class,componentnumber,strongcompnum,clustering
244,Kendrick Lamar,,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",18399860,"J. Cole, Childish Gambino, Bas, Big Sean",16,0.12959,0.179262,571.309407,8,4,12,32,0,88,0.155556
245,Kevin Roldan,,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']",4147473,"Alex Rose, Nio Garcia, Myke Towers, Rvssian, Lunay",8,0.294118,0.416224,32.259114,16,5,21,100,0,32,0.308333
246,Khalid,,"['pop', 'pop r&b']",14379161,"Dominic Fike, H.E.R., Kehlani, ZAYN, blackbear, benny blanco, Bazzi, Pink Sweat$, Normani",11,0.22365,0.293861,3419.978788,2,9,11,16,0,41,0.133333
247,Kid Cudi,,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",5146137,"Childish Gambino, Mac Miller, Baby Keem, Bas, Big Sean",16,0.129683,0.18204,316.246645,5,5,10,32,0,88,0.178571
248,Kina,,"['sad lo-fi', 'sad rap']",675356,,0,0,0,0,1,0,1,66,0,57,0
249,KitschKrieg,,"['german hip hop', 'german pop', 'hamburg hip hop']",169764,"Ufo361, Capital Bra, Bonez MC, Gzuz, Bausa, Dardan, RAF Camora",3,0.625,0.722222,40.083333,2,7,9,10,2,9,0.261905
250,Kontra K,,"['christlicher rap', 'german hip hop']",1848913,"Ufo361, Dardan, RAF Camora, 187 Strassenbande, KC Rebell",4,0.441176,0.583333,7.166667,1,5,6,10,2,9,0.35
251,Kygo,,"['edm', 'pop', 'pop dance', 'tropical house']",7710034,"Galantis, The Chainsmokers, Sam Feldt, Robin Schulz",14,0.147176,0.186338,58.666667,4,4,8,72,0,55,0.214286
252,Kylie Minogue,,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop']",1360151,,0,0,0,0,3,0,3,87,0,23,1
253,Labrinth,,"['indie poptimism', 'pop']",1722474,"BØRNS, Tom Odell, Madison Beer, The Neighbourhood, WILLOW, Noah Cyrus, Bea Miller",11,0.196121,0.257054,134.690476,1,7,8,87,0,220,0.107143
254,Lady Gaga,,"['dance pop', 'pop']",19320868,"Lorde, Miley Cyrus, Katy Perry, MARINA, Ellie Goulding, Kelly Clarkson, Sia, Gwen Stefani, Demi Lovato, Britney Spears",12,0.194354,0.27314,13.5,1,10,11,87,0,47,0.177778
255,Lana Del Rey,,"['art pop', 'pop']",14127051,"BØRNS, Lorde, MARINA, The Neighbourhood, WILLOW, Labrinth",12,0.17055,0.223994,0,0,6,6,87,0,221,0.166667
256,Lauv,,"['dance pop', 'electropop', 'pop']",4559510,Tate McRae,12,0.154255,0.178967,243.189593,1,1,2,87,0,41,0
