Source,Target,Type,Weight
Cardi B,Nicki Minaj,Undirected,1
Childish Gambino,BROCKHAMPTON,Undirected,1
Childish Gambino,Kid Cudi,Undirected,1
Childish Gambino,Kendrick Lamar,Undirected,1
Childish Gambino,Mac Miller,Undirected,1
Chris Brown,Ty Dolla $ign,Undirected,1
Christian Nodal,Banda MS de Sergio Lizárraga,Undirected,1
Clean Bandit,Mabel,Undirected,1
Clean Bandit,Anne-Marie,Undirected,1
Clean Bandit,Ellie Goulding,Undirected,1
Coldplay,Maroon 5,Undirected,1
Coldplay,Kygo,Undirected,1
Coldplay,The Killers,Undirected,1
Coldplay,Oasis,Undirected,1
Coldplay,Tom Odell,Undirected,1
Coldplay,Vance Joy,Undirected,1
Coldplay,OneRepublic,Undirected,1
Coldplay,Hozier,Undirected,1
Conan Gray,Ashe,Undirected,1
Conan Gray,Wallows,Undirected,1
Conan Gray,Beach Bunny,Undirected,1
Conan Gray,Clairo,Undirected,1
Curtis Waters,ElyOtto,Undirected,1
Curtis Waters,Peach Tree Rascals,Undirected,1
DDG,Lil Yachty,Undirected,1
DDG,Cordae,Undirected,1
DJ Khaled,Big Sean,Undirected,1
DJ Khaled,Ty Dolla $ign,Undirected,1
DJ Khaled,Lil Wayne,Undirected,1
DJ Khaled,French Montana,Undirected,1
DJ Khaled,Meek Mill,Undirected,1
DJ Snake,Major Lazer,Undirected,1
DaBaby,YNW Melly,Undirected,1
DaBaby,NLE Choppa,Undirected,1
DaBaby,Cordae,Undirected,1
DaBaby,Internet Money,Undirected,1
DaBaby,Gunna,Undirected,1
DaBaby,Lil Tecca,Undirected,1
DaBaby,NAV,Undirected,1
DaBaby,Lil Mosey,Undirected,1
DaBaby,Roddy Ricch,Undirected,1
Daddy Yankee,Nicky Jam,Undirected,1
Daddy Yankee,Jowell & Randy,Undirected,1
Daddy Yankee,Farruko,Undirected,1
Daddy Yankee,Arcangel,Undirected,1
Daddy Yankee,Wisin,Undirected,1
Daddy Yankee,Yandel,Undirected,1
Dalex,Anuel AA,Undirected,1
Dalex,Myke Towers,Undirected,1
Dalex,Alex Rose,Undirected,1
Dalex,Lunay,Undirected,1
Dalex,Kevin Roldan,Undirected,1
Dalex,Rvssian,Undirected,1
Dalex,Jhay Cortez,Undirected,1
Dalex,Nio Garcia,Undirected,1
Damso,Ninho,Undirected,1
Damso,Maes,Undirected,1
Damso,Gradur,Undirected,1
Dan + Shay,Kane Brown,Undirected,1
Dan + Shay,Morgan Wallen,Undirected,1
Dan + Shay,Luke Combs,Undirected,1
Darlene Love,The Ronettes,Undirected,1
Dean Lewis,Alec Benjamin,Undirected,1
Dean Lewis,BANNERS,Undirected,1
Dean Lewis,Lewis Capaldi,Undirected,1
Dean Lewis,JP Saxe,Undirected,1
Dean Martin,Nat King Cole,Undirected,1
Dean Martin,Tony Bennett,Undirected,1
Dean Martin,Perry Como,Undirected,1
Dean Martin,Andy Williams,Undirected,1
Dean Martin,Bing Crosby,Undirected,1
Demi Lovato,Miley Cyrus,Undirected,1
Demi Lovato,Camila Cabello,Undirected,1
Demi Lovato,Selena Gomez,Undirected,1
Demi Lovato,Meghan Trainor,Undirected,1
Demi Lovato,Sabrina Carpenter,Undirected,1
Demi Lovato,Jonas Brothers,Undirected,1
Demi Lovato,Madison Beer,Undirected,1
Diego & Victor Hugo,Henrique & Juliano,Undirected,1
Dj Guuga,Niack,Undirected,1
Doja Cat,SZA,Undirected,1
Doja Cat,Kehlani,Undirected,1
Doja Cat,H.E.R.,Undirected,1
Doja Cat,Kali Uchis,Undirected,1
Doja Cat,Normani,Undirected,1
Doja Cat,Nicki Minaj,Undirected,1
Doja Cat,WILLOW,Undirected,1
Dominic Fike,Peach Tree Rascals,Undirected,1
Don Toliver,21 Savage,Undirected,1
Don Toliver,Gunna,Undirected,1
Don Toliver,NAV,Undirected,1
Don Toliver,Baby Keem,Undirected,1
Don Toliver,Playboi Carti,Undirected,1
Drake,Big Sean,Undirected,1
Drake,Tory Lanez,Undirected,1
Drake,Ty Dolla $ign,Undirected,1
Drake,PARTYNEXTDOOR,Undirected,1
Drake,Bryson Tiller,Undirected,1
Drake,J. Cole,Undirected,1
Drake,NAV,Undirected,1
Drake,Future,Undirected,1
Drake,Lil Wayne,Undirected,1
Drake,Migos,Undirected,1
Drake,French Montana,Undirected,1
Drake,Kendrick Lamar,Undirected,1
