ID,Label,Genres,Followers,Related Artist
194,J Balvin,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",30006178,"Jowell & Randy, Maluma, Arcangel, Nicky Jam, Yandel, Manuel Turizo, Wisin, Piso 21, Farruko, Justin Quiles, Cali Y El Dandee, Ozuna"
195,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",14573804,"Baby Keem, Kid Cudi, Kendrick Lamar, Meek Mill, Big Sean"
196,JACKBOYS,"['rap', 'trap']",449405,"Don Toliver, Lil Yachty, Gunna, NAV"
197,JP Saxe,"['alt z', 'canadian contemporary r&b', 'electropop', 'pop', 'pop rock']",293816,"Sam Fischer, Alexander 23"
198,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",1192888,"Mustard, Cordae, Lil Yachty, DDG, Lil Uzi Vert, Ty Dolla $ign, Tory Lanez, Tyla Yaweh"
199,James Arthur,"['pop', 'talent show', 'uk pop']",8683038,"JP Saxe, Dean Lewis, Lewis Capaldi, Niall Horan"
200,Jamie Miller,['pop soul'],104949,
201,Jason Derulo,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",10081952,
202,Jason Mraz,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",6261764,John Mayer
203,Jawsh 685,['nz pop'],102351,"Sam Feldt, Tones And I"
204,Jay Wheeler,"['latin', 'reggaeton', 'trap latino']",1901262,"Alex Rose, Milly, Mora, Dímelo Flow, Tainy"
205,Jerry Di,"['cubaton', 'dominican pop', 'pop venezolano', 'reggaeton', 'reggaeton flow', 'trap latino']",158881,
206,Jhay Cortez,"['latin', 'reggaeton', 'trap latino']",2692470,"Alex Rose, Nio Garcia, Myke Towers, Lunay, Rvssian, Anuel AA, Kevin Roldan, Rauw Alejandro, Tainy"
207,Jhené Aiko,"['alternative r&b', 'dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",4853949,Bryson Tiller
208,Joel Corry,"['dance pop', 'pop', 'pop dance', 'tropical house', 'uk dance']",219754,"twocolors, Mabel, Regard, Topic"
209,John Legend,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",5910198,
210,John Lennon,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",4417570,"Paul McCartney, The Beach Boys"
211,John Mayer,"['neo mellow', 'pop rock', 'singer-songwriter']",5250947,Jason Mraz
212,Joji,"['alternative r&b', 'pop', 'viral pop']",4929660,"BROCKHAMPTON, Dominic Fike"
213,Joker Bra,['german hip hop'],190616,
214,Jonas Brothers,"['boy band', 'dance pop', 'pop', 'post-teen pop']",5591393,Demi Lovato
215,Jonas Esticado,"['forro', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",1360114,"Matheus Fernandes, Wesley Safadão"
216,Jorge & Mateus,"['sertanejo', 'sertanejo universitario']",15302226,"Luan Santana, Gusttavo Lima"
217,José Feliciano,"['bolero', 'latin pop', 'puerto rican pop']",247245,
218,Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",3841560,
219,Jowell & Randy,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']",3007796,
220,Joyner Lucas,"['boston hip hop', 'hip hop', 'pop rap', 'rap']",1758975,Cordae
221,João Gomes,[],807973,"Jonas Esticado, Raí Saia Rodada, Tarcísio do Acordeon, Mari Fernandez, Matheus Fernandes"
222,Juanfran,"['dominican pop', 'pop reggaeton', 'urbano espanol']",119256,Milly
223,Juice WRLD,"['chicago rap', 'melodic rap']",19872480,"Trippie Redd, DaBaby, Don Toliver, Lil Yachty, Lil Tecca, Lil Uzi Vert, Lil Mosey, 6ix9ine, YNW Melly, NAV"
224,Juju,['cumbia sonidera'],13802,
225,Justin Bieber,"['canadian pop', 'pop']",50928824,"Liam Payne, One Direction, Jonas Brothers, ZAYN, Niall Horan, Shawn Mendes, Camila Cabello, Selena Gomez, Khalid, Demi Lovato, Bazzi"
226,Justin Quiles,"['latin', 'reggaeton', 'trap latino']",2987994,"Wisin, Rvssian, Farruko, Kevin Roldan"
227,Justin Timberlake,"['dance pop', 'pop']",11241025,"Gwen Stefani, Nelly Furtado, Black Eyed Peas, *NSYNC"
228,Justin Wellington,"['melanesian pop', 'pacific islands pop', 'png pop']",22262,
229,K CAMP,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",1368571,
230,K/DA,['k-pop girl group'],1321105,"Red Velvet, TWICE, BLACKPINK"
231,KALIM,"['latin', 'latin arena pop', 'latin pop', 'mexican pop', 'rock en espanol']",1528676,
232,KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",18813844,"Nio Garcia, Manuel Turizo, Myke Towers, Rvssian, Anuel AA, Kevin Roldan, Jhay Cortez, Sebastian Yatra, Ozuna, Lunay"
233,KASIMIR1441,"['german alternative rap', 'german hip hop', 'german trap', 'tekk']",202436,
234,KC Rebell,"['german drill', 'german hip hop']",1115696,"Zuna, Bausa, Kontra K, Dardan, RAF Camora"
