Id,Artist,Genres,Followers
286,MYA,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop r&b', 'r&b', 'urban contemporary']",1022115
287,Mabel,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",1425814
288,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",6392312
289,Machine Gun Kelly,"['ohio hip hop', 'pop rap']",4027242
290,Macklemore & Ryan Lewis,"['pop rap', 'seattle hip hop']",2562102
291,Madame,['otacore'],41432
292,Madison Beer,"['alt z', 'dance pop', 'electropop', 'pop', 'post-teen pop']",3694140
293,Maes,['modern rock'],322121
294,Majestic,"['house', 'pop dance', 'uk dance']",34868
295,Major Lazer,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",6242696
296,Malu,"['latin', 'reggaeton', 'reggaeton colombiano']",27619842
297,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']",27619842
298,Manuel Turizo,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",8225523
299,Marc Seguí,['spanish pop'],54509
300,Mari Fernandez,"['forro', 'sertanejo pop']",28142
301,Mariah Carey,"['dance pop', 'pop', 'r&b', 'urban contemporary']",7054602
302,Maroon 5,"['pop', 'pop rock']",33154220
303,Marshmello,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",32122154
304,Martin Garrix,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']",15100642
305,Masked Wolf,['australian hip hop'],439460
306,Master KG,['south african house'],258653
307,Matheus Fernandes,['sertanejo pop'],115617
308,Matthew Wilder,['new wave pop'],30973
309,Matuê,"['r&b brasileiro', 'rap cearense', 'trap brasileiro']",3564903
310,Mc Davi,"['funk carioca', 'funk ostentacao', 'funk paulista']",2684192
311,Mc Poze do Rodo,['funk carioca'],668365
312,Mc Zaac,"['funk carioca', 'funk pop']",1567313
313,Meek Mill,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",5417274
314,Megan Thee Stallion,"['houston rap', 'pop', 'trap queen']",5176892
315,Meghan Trainor,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",10758834
316,Melanie Martinez,"['alt z', 'electropop', 'pop']",11367462
317,Michael Bublé,"['adult standards', 'canadian pop', 'jazz pop', 'lounge']",4759441
318,Michael Jackson,"['pop', 'r&b', 'soul']",19940510
319,Migos,"['atl hip hop', 'pop rap', 'rap', 'trap']",11804241
320,Migrantes,['cumbia pop'],125420
321,Miksu / Macloud,['german hip hop'],32741
322,Miley Cyrus,"['dance pop', 'pop', 'post-teen pop']",16217493
323,Milly,['boston hip hop'],17511
324,Mimi Webb,"['alt z', 'pop', 'uk pop']",155615
325,Money Man,"['memphis hip hop', 'rap', 'southern hip hop', 'trap']",362421
326,Mora,"['reggaeton', 'trap latino']",177810
327,Morgan Wallen,['contemporary country'],2324925
328,Mother Mother,['vancouver indie'],2245283
329,Murda,"['canadian hip hop', 'canadian trap']",121451
330,Mustard,"['cali rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",897594
331,Myke Towers,['trap latino'],6714396
332,Mykola Dmytrovych Leontovych,"['post-romantic era', 'ukrainian classical']",2421
333,Måneskin,"['indie rock italiano', 'italian pop']",4124801
334,NAV,"['canadian hip hop', 'canadian trap', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",2686699
335,NF,"['hip hop', 'pop rap', 'rap']",6063618
336,NLE Choppa,['memphis hip hop'],3551267
337,Nat King Cole,"['adult standards', 'lounge', 'soul', 'vocal jazz']",1669259
338,Natalie Taylor,[],123256
339,Nathan Evans,[],157697
340,Natti Natasha,"['latin', 'latin pop', 'rap latina', 'reggaeton', 'trap latino']",6617829
341,Nea,"['scandipop', 'swedish pop']",39310
342,Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']",2773109
343,Niack,['funk carioca'],356870
344,Niall Horan,"['dance pop', 'pop', 'post-teen pop']",7763939
345,Nicki Minaj,"['dance pop', 'hip pop', 'pop', 'pop rap', 'queens hip hop']",22687291
346,Nicky Jam,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",15215580
347,Ninho,"['french hip hop', 'pop urbaine']",4968828
348,Nio Garcia,"['latin', 'reggaeton', 'trap latino']",2320814
349,Nirvana,"['alternative rock', 'grunge', 'permanent wave', 'rock']",13667510
350,Noah Cyrus,"['alt z', 'dance pop', 'pop', 'post-teen pop']",908250
351,Normani,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",1432371
352,Oasis,"['beatlesque', 'britpop', 'madchester', 'permanent wave', 'rock']",6636197
353,Octavian,"['afroswing', 'london rap', 'uk alternative hip hop', 'uk hip hop']",216513
354,Ofenbach,"['edm', 'electro house', 'new french touch', 'pop', 'pop dance', 'tropical house']",442121
355,Olivia Rodrigo,['pop'],8548958
356,One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",23222900
357,OneRepublic,"['dance pop', 'piano rock', 'pop', 'pop rock']",12453027
358,Os Barões Da Pisadinha,"['forro', 'piseiro']",4752502
359,Ozuna,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",29792631
360,P!nk,"['dance pop', 'pop']",11832929
361,PARTYNEXTDOOR,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",3251394
362,PEDRO SAMPAIO,['funk carioca'],1086873
363,PUBLIC,['indie rockism'],169367
364,Pamungkas,['indonesian pop'],1885688
365,Panic! At The Disco,['modern rock'],10940982
366,Pashanim,"['german alternative rap', 'german drill', 'german hip hop']",223971
367,Passenger,"['folk-pop', 'neo mellow', 'pop', 'pop rock']",2845751
368,Paul McCartney,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'mellow gold', 'rock', 'soft rock']",3680265
369,Peach Tree Rascals,"['alternative r&b', 'chill r&b', 'indie r&b', 'pop']",181606
370,Pedro Capó,"['latin', 'latin pop', 'puerto rican pop']",1376248
371,Pentatonix,['a cappella'],3103166
372,Perry Como,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'vocal jazz']",348345
373,Petter Ferraz,[],14791
374,Pink Sweat$,"['bedroom soul', 'pop']",1023895
375,Piso 21,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",7387364
376,Playboi Carti,"['atl hip hop', 'plugg', 'rap', 'trap']",5212759
377,Polo G,['chicago rap'],5307510
